country,var,time,N,res,percent,reference,antibiotic,subsource,infection_colonisation,link,origin,assumption,notes
denmark,A,2013,24,0,0,,cefotaxime,Beef,,,Danish,,
denmark,A,2014,46,2,0.92,,cefotaxime,Beef,,,Danish,,
denmark,A,2015,55,0,0,,cefotaxime,Beef,,,Danish,,
denmark,A,2010,39,1,0.39,,cefotaxime,Beef,,,Import,,
denmark,A,2011,44,0,0,,cefotaxime,Beef,,,Import,,
denmark,A,2012,52,0,0,,cefotaxime,Beef,,,Import,,
denmark,A,2013,35,1,0.35,,cefotaxime,Beef,,,Import,,
denmark,A,2014,32,0,0,,cefotaxime,Beef,,,Import,,
denmark,A,2015,36,1,0.36,,cefotaxime,Beef,,,Import,,
denmark,A,2010,158,1,1.58,,cefotaxime,Broiler meat,,,Danish,,
denmark,A,2011,122,3,3.66,,cefotaxime,Broiler meat,,,Danish,,
denmark,A,2012,197,2,3.94,,cefotaxime,Broiler meat,,,Danish,,
denmark,A,2013,116,2,2.32,,cefotaxime,Broiler meat,,,Danish,,
denmark,A,2014,135,1,1.35,,cefotaxime,Broiler meat,,,Danish,,
denmark,A,2015,214,1,2.14,,cefotaxime,Broiler meat,,,Danish,,
denmark,A,2010,177,12,21.24,,cefotaxime,Broiler meat,,,Import,,
denmark,A,2011,140,10,14,,cefotaxime,Broiler meat,,,Import,,
denmark,A,2012,166,15,24.9,,cefotaxime,Broiler meat,,,Import,,
denmark,A,2013,136,12,16.32,,cefotaxime,Broiler meat,,,Import,,
denmark,A,2014,160,5,8,,cefotaxime,Broiler meat,,,Import,,
denmark,A,2015,148,3,4.44,,cefotaxime,Broiler meat,,,Import,,
denmark,A,2010,118,0,0,,cefotaxime,Broilers,,,Danish,,
denmark,A,2011,131,1,1.31,,cefotaxime,Broilers,,,Danish,,
denmark,A,2012,115,2,2.3,,cefotaxime,Broilers,,,Danish,,
denmark,A,2013,125,1,1.25,,cefotaxime,Broilers,,,Danish,,
denmark,A,2014,191,0,0,,cefotaxime,Broilers,,,Danish,,
denmark,A,2015,95,0,0,,cefotaxime,Broilers,,,Danish,,
denmark,A,2016,186,1,1.86,,cefotaxime,Broilers,,,Danish,,
denmark,A,2017,115,0,0,,cefotaxime,Broilers,,,Danish,,
denmark,A,2018,166,0,0,,cefotaxime,Broilers,,,Danish,,
denmark,A,2019,159,1,1.59,,cefotaxime,Broilers,,,Danish,,
denmark,A,2010,106,0,0,,cefotaxime,Cattle,,,Danish,,
denmark,A,2011,93,0,0,,cefotaxime,Cattle,,,Danish,,
denmark,A,2012,98,0,0,,cefotaxime,Cattle,,,Danish,,
denmark,A,2013,103,0,0,,cefotaxime,Cattle,,,Danish,,
denmark,A,2014,136,0,0,,cefotaxime,Cattle,,,Danish,,
denmark,A,2015,144,1,1.44,,cefotaxime,Cattle,,,Danish,,
denmark,A,2016,121,0,0,,cefotaxime,Cattle,,,Danish,,
denmark,A,2017,181,1,1.81,,cefotaxime,Cattle,,,Danish,,
denmark,A,2018,98,0,0,,cefotaxime,Cattle,,,Danish,,
denmark,A,2019,172,0,0,,cefotaxime,Cattle,,,Danish,,
denmark,A,2010,160,2,3.2,,cefotaxime,Pigs,,,Danish,,
denmark,A,2011,157,2,3.14,,cefotaxime,Pigs,,,Danish,,
denmark,A,2012,152,1,1.52,,cefotaxime,Pigs,,,Danish,,
denmark,A,2013,146,0,0,,cefotaxime,Pigs,,,Danish,,
denmark,A,2014,209,0,0,,cefotaxime,Pigs,,,Danish,,
denmark,A,2015,174,0,0,,cefotaxime,Pigs,,,Danish,,
denmark,A,2016,145,1,1.45,,cefotaxime,Pigs,,,Danish,,
denmark,A,2017,172,0,0,,cefotaxime,Pigs,,,Danish,,
denmark,A,2018,149,0,0,,cefotaxime,Pigs,,,Danish,,
denmark,A,2019,190,0,0,,cefotaxime,Pigs,,,Danish,,
denmark,A,2010,68,1,0.68,,cefotaxime,Pork,,,Danish,,
denmark,A,2011,92,0,0,,cefotaxime,Pork,,,Danish,,
denmark,A,2012,73,1,0.73,,cefotaxime,Pork,,,Danish,,
denmark,A,2013,93,1,0.93,,cefotaxime,Pork,,,Danish,,
denmark,A,2014,73,0,0,,cefotaxime,Pork,,,Danish,,
denmark,A,2015,57,0,0,,cefotaxime,Pork,,,Danish,,
denmark,A,2010,50,0,0,,cefotaxime,Pork,,,Import,,
denmark,A,2011,30,1,0.3,,cefotaxime,Pork,,,Import,,
denmark,A,2012,53,1,0.53,,cefotaxime,Pork,,,Import,,
denmark,A,2013,50,0,0,,cefotaxime,Pork,,,Import,,
denmark,A,2014,44,0,0,,cefotaxime,Pork,,,Import,,
denmark,A,2015,15,0,0,,cefotaxime,Pork,,,Import,,
denmark,A,2014,46,1,0.46,,ceftazidime,Beef,,,Danish,,
denmark,A,2015,55,0,0,,ceftazidime,Beef,,,Danish,,
denmark,A,2014,32,0,0,,ceftazidime,Beef,,,Import,,
denmark,A,2015,36,1,0.36,,ceftazidime,Beef,,,Import,,
denmark,A,2014,135,1,1.35,,ceftazidime,Broiler meat,,,Danish,,
denmark,A,2015,214,1,2.14,,ceftazidime,Broiler meat,,,Danish,,
denmark,A,2014,160,4,6.4,,ceftazidime,Broiler meat,,,Import,,
denmark,A,2015,148,3,4.44,,ceftazidime,Broiler meat,,,Import,,
denmark,A,2014,191,0,0,,ceftazidime,Broilers,,,Danish,,
denmark,A,2015,95,0,0,,ceftazidime,Broilers,,,Danish,,
denmark,A,2016,186,1,1.86,,ceftazidime,Broilers,,,Danish,,
denmark,A,2017,115,0,0,,ceftazidime,Broilers,,,Danish,,
denmark,A,2018,166,0,0,,ceftazidime,Broilers,,,Danish,,
denmark,A,2019,159,1,1.59,,ceftazidime,Broilers,,,Danish,,
denmark,A,2014,136,0,0,,ceftazidime,Cattle,,,Danish,,
denmark,A,2015,144,0,0,,ceftazidime,Cattle,,,Danish,,
denmark,A,2016,121,0,0,,ceftazidime,Cattle,,,Danish,,
denmark,A,2017,181,1,1.81,,ceftazidime,Cattle,,,Danish,,
denmark,A,2018,98,0,0,,ceftazidime,Cattle,,,Danish,,
denmark,A,2019,172,0,0,,ceftazidime,Cattle,,,Danish,,
denmark,A,2014,209,1,2.09,,ceftazidime,Pigs,,,Danish,,
denmark,A,2015,174,0,0,,ceftazidime,Pigs,,,Danish,,
denmark,A,2016,145,1,1.45,,ceftazidime,Pigs,,,Danish,,
denmark,A,2017,172,0,0,,ceftazidime,Pigs,,,Danish,,
denmark,A,2018,149,0,0,,ceftazidime,Pigs,,,Danish,,
denmark,A,2019,190,0,0,,ceftazidime,Pigs,,,Danish,,
denmark,A,2014,73,0,0,,ceftazidime,Pork,,,Danish,,
denmark,A,2015,57,0,0,,ceftazidime,Pork,,,Danish,,
denmark,A,2014,44,0,0,,ceftazidime,Pork,,,Import,,
denmark,A,2015,15,0,0,,ceftazidime,Pork,,,Import,,
england,H,2017,34014.92537,"4,558",13.4,ESPAUR report 2022 Figure 2.4 Data reference table,"cefotaxime, ceftazidime, cefpodoxime and ceftriaxone",number of bloodstream isolates in humans,I,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1118310/ESPAUR-report-2021-to-2022.pdf,,UK,
england,H,2018,35371.42857,"4,952",14,ESPAUR report 2022 Figure 2.4 Data reference table,"cefotaxime, ceftazidime, cefpodoxime and ceftriaxone",number of bloodstream isolates in humans,I,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1118310/ESPAUR-report-2021-to-2022.pdf,,UK,
england,H,2019,36910.34483,"5,352",14.5,ESPAUR report 2022 Figure 2.4 Data reference table,"cefotaxime, ceftazidime, cefpodoxime and ceftriaxone",number of bloodstream isolates in humans,I,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1118310/ESPAUR-report-2021-to-2022.pdf,,UK,
england,H,2020,30158.27338,"4,192",13.9,ESPAUR report 2022 Figure 2.4 Data reference table,"cefotaxime, ceftazidime, cefpodoxime and ceftriaxone",number of bloodstream isolates in humans,I,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1118310/ESPAUR-report-2021-to-2022.pdf,,UK,
england,H,2021,31037.03704,"4,190",13.5,ESPAUR report 2022 Figure 2.4 Data reference table,"cefotaxime, ceftazidime, cefpodoxime and ceftriaxone",number of bloodstream isolates in humans,I,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1118310/ESPAUR-report-2021-to-2022.pdf,,UK,
england,A,2015,150,0,0,UK-VARSS 2021 Table S1.1.1,third generation cephalosporins,pigs,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1126453/TP_FOR_PUBLICATION_-_UK-VARSS_2021_Supplementary_Material_3-accessible.pdf,,UK,healthy pigs at slaughter
england,A,2017,186,0,0,UK-VARSS 2021 Table S1.1.1,third generation cephalosporins,pigs,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1126453/TP_FOR_PUBLICATION_-_UK-VARSS_2021_Supplementary_Material_3-accessible.pdf,,UK,healthy pigs at slaughter
england,A,2019,208,5,2.4,UK-VARSS 2021 Table S1.1.1,third generation cephalosporins,pigs,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1126453/TP_FOR_PUBLICATION_-_UK-VARSS_2021_Supplementary_Material_3-accessible.pdf,,UK,healthy pigs at slaughter
england,A,2021,237,3,1.3,UK-VARSS 2021 Table S1.1.1,third generation cephalosporins,pigs,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1126453/TP_FOR_PUBLICATION_-_UK-VARSS_2021_Supplementary_Material_3-accessible.pdf,,UK,healthy pigs at slaughter 
england,A,2021,201,8,3.980099502,UK-VARSS 2021 Table S2.6.2,cefotaxime,"cattle, sheep, pigs, chickens, turkeys",,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1126453/TP_FOR_PUBLICATION_-_UK-VARSS_2021_Supplementary_Material_3-accessible.pdf,,england and wales,
england,A,2021,201,7,3.482587065,UK-VARSS 2021 Table S2.6.2,ceftazidime,"cattle, sheep, pigs, chickens, turkeys",,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1126453/TP_FOR_PUBLICATION_-_UK-VARSS_2021_Supplementary_Material_3-accessible.pdf,,england and wales,
england,A,2021,752,6,0.79787234,UK-VARSS 2021 Table S2.6.2,cefpodoxime,"cattle, sheep, pigs, chickens, turkeys",,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1126453/TP_FOR_PUBLICATION_-_UK-VARSS_2021_Supplementary_Material_3-accessible.pdf,,england and wales,
england,H,2019,26593,3058.195,11.5,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2018,28677,3154.47,11,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2017,27925,2876.275,10.3,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2016,21846,2009.832,9.2,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2015,5169,584.097,11.3,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2014,6221,640.763,10.3,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2013,6586,968.142,14.7,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2012,5663,741.853,13.1,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2011,5182,497.472,9.6,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2010,4547,409.23,9,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2009,3943,370.642,9.4,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2008,2193,151.317,6.9,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2007,1828,171.832,9.4,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2006,1772,136.444,7.7,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2005,1892,119.196,6.3,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2004,1904,60.928,3.2,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2003,2018,66.594,3.3,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2002,1703,35.763,2.1,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
england,H,2001,1154,13.848,1.2,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,UK,
senegal_temp,E,,123,71.955,58.5,S2 Table,third generation cephalosporins,drinking water/faeces,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6435184/,,,
senegal_temp,E,,7,3,42.8,S2 Table,,Carcasses/rinsing water ,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6435184/,,,
senegal,E,2019,339,16,4.719764012,,cefotaxime,non-human primates and non-fecal environmental samples,,https://www.frontiersin.org/articles/10.3389/fmicb.2022.838392/full,,,
senegal,A,2019,72,21,29.16666667,,,wildlife,,https://www.frontiersin.org/articles/10.3389/fmicb.2022.838392/full,,,
netherlands,E,2011,147,4,2.7,https://www.sciencedirect.com/science/article/abs/pii/S0168160513004649?casa_token=nT5wacE018QAAAAA:gPgPb87GYBIrKnskH_x8QMY4eJc3BL8D6xCSzu_hFUDcL0SHKfhnKOaDyq8gE4uLICEfzTQ5ig,third generation cephalosporins,supermarket vegetables,C,https://www.sciencedirect.com/science/article/abs/pii/S0168160513004649?casa_token=nT5wacE018QAAAAA:gPgPb87GYBIrKnskH_x8QMY4eJc3BL8D6xCSzu_hFUDcL0SHKfhnKOaDyq8gE4uLICEfzTQ5ig,,netherlands,faecal Enterobacteriaceae not E coli
netherlands,E,2011,75,1,1.3,https://www.sciencedirect.com/science/article/abs/pii/S0168160513004649?casa_token=nT5wacE018QAAAAA:gPgPb87GYBIrKnskH_x8QMY4eJc3BL8D6xCSzu_hFUDcL0SHKfhnKOaDyq8gE4uLICEfzTQ5ig,third generation cephalosporins,iceberg lettuce from farms,C,https://www.sciencedirect.com/science/article/abs/pii/S0168160513004649?casa_token=nT5wacE018QAAAAA:gPgPb87GYBIrKnskH_x8QMY4eJc3BL8D6xCSzu_hFUDcL0SHKfhnKOaDyq8gE4uLICEfzTQ5ig,,netherlands,faecal Enterobacteriaceae not E coli
netherlands,E,2011,90,1,1.1,https://www.sciencedirect.com/science/article/abs/pii/S0168160513004649?casa_token=nT5wacE018QAAAAA:gPgPb87GYBIrKnskH_x8QMY4eJc3BL8D6xCSzu_hFUDcL0SHKfhnKOaDyq8gE4uLICEfzTQ5ig,third generation cephalosporins,agricultural soil,C,https://www.sciencedirect.com/science/article/abs/pii/S0168160513004649?casa_token=nT5wacE018QAAAAA:gPgPb87GYBIrKnskH_x8QMY4eJc3BL8D6xCSzu_hFUDcL0SHKfhnKOaDyq8gE4uLICEfzTQ5ig,,netherlands,faecal Enterobacteriaceae not E coli
england,E,2012,,,0.12,https://pubmed.ncbi.nlm.nih.gov/25832996/,third generation cephalosporins,coastal surface waters,C,https://pubmed.ncbi.nlm.nih.gov/25832996/,,england and wales,
senegal,A,2006,90,22,24.44444444,,cefoxitin,chicken carcass,,https://www.scielo.br/j/bjm/a/LKdGpsbxFG9yyVvxKSBZZ4k/,,,
senegal,A,2019,32,17,53.125,,ceftriaxone,live chicken,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0214304,,,
senegal,A,2018,50,5,10,,blaCTX-M encoding resistance to third-generation cephalosporins,live chicken,,https://www.liebertpub.com/doi/abs/10.1089/fpd.2017.2394?journalCode=fpd,,,
senegal,H,2016,69,22,31.88405797,,cefoxitin,neonatal hospital,,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-016-1935-y#Tab2,,,
senegal,H,2004,289,28,9.688581315,,ciprofloxacin,patients hospital,,https://hal-riip.archives-ouvertes.fr/pasteur-00624409/document,,,
senegal,H,2005,449,69,15.3674833,,ciprofloxacin,patients hospital,,https://hal-riip.archives-ouvertes.fr/pasteur-00624409/document,,,
senegal,H,2006,272,60,22.05882353,,ciprofloxacin,patients hospital,,https://hal-riip.archives-ouvertes.fr/pasteur-00624409/document,,,
senegal,H,2004,289,10,3.460207612,,ceftazidime,patients hospital,,https://hal-riip.archives-ouvertes.fr/pasteur-00624409/document,,,
senegal,H,2005,449,15,3.340757238,,ceftazidime,patients hospital,,https://hal-riip.archives-ouvertes.fr/pasteur-00624409/document,,,
senegal,H,2006,272,13,4.779411765,,ceftazidime,patients hospital,,https://hal-riip.archives-ouvertes.fr/pasteur-00624409/document,,,
senegal,H,2018,33,16.104,48.8,,third generation cephalosporins,patients hospital,,https://www.hilarispublisher.com/open-access/urinary-tract-infection-profile-at-the-clinic-of-infectious-and-tropical-diseases-at-fann-university-hospital-dakar-senegal-2472-1212-1000174.pdf,,,
denmark,H,2005,957,10.99999993,1.14942528,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2006,1839,44.9999999,2.44698205,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2007,1756,56.99999987,3.24601366,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2008,2489,101,4.05785456,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2009,2705,167,6.17375231,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2010,2408,182.9999999,7.59966777,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2011,2532,214.9999998,8.49131121,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2012,2519,197.9999998,7.860262,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2013,2451,197.9999999,8.07833537,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2014,4410,309,7.00680272,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2015,4561,340.9999997,7.4764306,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2016,4659,305.9999999,6.56793303,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2017,4883,336.9999999,6.90149498,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2018,4833,369.9999998,7.65570039,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2019,5091,383.9999999,7.54272245,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2020,5286,354,6.6969353,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,H,2021,5416,334,6.16691285,Surveillance atlas of infectious diseases,third generation cephalosporins,all humans total tested isolates,,http://atlas.ecdc.europa.eu/public/index.aspx,,,
denmark,E,2003,613,1,0.2,,cefotaxime,pig manure,,https://www.sciencedirect.com/science/article/pii/S001393511000040X?via%3Dihub#aep-abstract-id10,,GERMANY,no data available but germany is close. Here is a ref to use from experts in denmark https://plen.ku.dk/raadgivning/rapporter/Assessment_of_risks_related_to_agricultural_use_of_sewage_sludge_pig_and_cattle_slurry.pdf
denmark,E,2005,116,1,0.9,,cefotaxime,sewage sludge,,https://www.sciencedirect.com/science/article/pii/S001393511000040X?via%3Dihub#aep-abstract-id10,,GERMANY,
denmark,E,2003,613,0,0,,ceftazidime,pig manure,,https://www.sciencedirect.com/science/article/pii/S001393511000040X?via%3Dihub#aep-abstract-id10,,GERMANY,
denmark,E,2005,116,1,0.9,,ceftazidime,sewage sludge,,https://www.sciencedirect.com/science/article/pii/S001393511000040X?via%3Dihub#aep-abstract-id10,,GERMANY,
denmark,E,2003,613,7,1.1,,ciprofloxacin,pig manure,,https://www.sciencedirect.com/science/article/pii/S001393511000040X?via%3Dihub#aep-abstract-id10,,GERMANY,
